player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Abdel Nader,1618520.00,1752950.00,0.00,0.00
Wesley Iwundu,1618520.00,0.00,0.00,0.00
Royce O'Neale,1618520.00,0.00,0.00,0.00
Jabari Bird,1588231.00,0.00,0.00,0.00
Alfonzo McKinnie,1588231.00,0.00,0.00,0.00
Monte Morris,1588231.00,1723707.00,0.00,0.00
Chris Boucher,1588231.00,0.00,0.00,0.00
Malcolm Miller,1588231.00,0.00,0.00,0.00
Mitchell Robinson,1559712.00,1663861.00,1802057.00,0.00
Willy Hernangomez,1557250.00,0.00,0.00,0.00
Isaiah Roby,1500000.00,1517981.00,1782621.00,1930681.00
Nigel Williams-Goss,1500000.00,1517981.00,1782621.00,0.00
Antonio Blakeney,1488231.00,0.00,0.00,0.00
JR Smith,1456667.00,1456667.00,1456667.00,0.00
Thanasis Antetokounmpo,1445697.00,1701593.00,0.00,0.00
Shake Milton,1445697.00,1701593.00,1846738.00,1997718.00
Brad Wanamaker,1445697.00,0.00,0.00,0.00
Theo Pinson,1445697.00,1701593.00,0.00,0.00
Derrick Walton,1445697.00,0.00,0.00,0.00
Khyri Thomas,1416852.00,1663861.00,0.00,0.00
Isaiah Hartenstein,1416852.00,1663861.00,0.00,0.00
Deonte Burton,1416852.00,1663861.00,0.00,0.00
Elie Okobo,1416852.00,1663861.00,1802057.00,0.00
Gary Trent Jr,1416852.00,1663861.00,0.00,0.00
Isaac Bonga,1416852.00,1663861.00,0.00,0.00
Devonte Graham,1416852.00,1663861.00,0.00,0.00
Ryan Broekhoff,1416852.00,0.00,0.00,0.00
Jalen Brunson,1416852.00,1663861.00,1802057.00,0.00
Jarred Vanderbilt,1416852.00,1663861.00,0.00,0.00
Bruce Brown,1416852.00,1663861.00,0.00,0.00
Sviatoslav Mykhailiuk,1416852.00,1663861.00,0.00,0.00
Gary Clark,1416852.00,1663861.00,0.00,0.00
Alize Johnson,1416852.00,0.00,0.00,0.00
De'Anthony Melton,1416852.00,0.00,0.00,0.00
Kendrick Nunn,1416852.00,1663861.00,0.00,0.00
Duncan Robinson,1416852.00,1663861.00,0.00,0.00
Keita Bates-Diop,1416852.00,1663861.00,0.00,0.00
Kenrich Williams,1416852.00,0.00,0.00,0.00
Hamidou Diallo,1416852.00,1663861.00,0.00,0.00
Melvin Frazier,1416852.00,1663861.00,0.00,0.00
Jevon Carter,1416852.00,0.00,0.00,0.00
Chimezie Metu,1416852.00,1663861.00,0.00,0.00
Bruno Fernando,1400000.00,1517981.00,1782621.00,0.00
Jaylen Nowell,1400000.00,1517981.00,1782621.00,1930681.00
Amile Jefferson,1339515.00,0.00,0.00,0.00
Kevin Porter,1290960.00,1717981.00,1782621.00,3217631.00
Carsen Edwards,1228026.00,1517981.00,1782621.00,1930681.00
Cody Martin,1173310.00,1517981.00,1782621.00,0.00
Guerschon Yabusele,1039080.00,1039080.00,1039080.00,0.00
Terance Mann,1000000.00,1517981.00,1782621.00,1930681.00
Admiral Schofield,1000000.00,1517981.00,1782621.00,0.00
Justin Hamilton,1000000.00,0.00,0.00,0.00
Jonathon Simmons,1000000.00,0.00,0.00,0.00
Kyle Singler,999200.00,999200.00,999200.00,999200.00
Vlatko Cancar,898310.00,1571981.00,1782621.00,0.00
Javonte Green,898310.00,1517981.00,0.00,0.00
Nicolas Claxton,898310.00,1517981.00,1782621.00,0.00
Daniel Gafford,898310.00,1517981.00,1782621.00,1930681.00
Eric Paschall,898310.00,1517981.00,1782621.00,0.00
Alen Smailagic,898310.00,1517981.00,1782621.00,1930681.00
Talen Horton-Tucker,898310.00,1517981.00,0.00,0.00
KZ Okpala,898310.00,1517981.00,1782621.00,0.00
Naz Reid,898310.00,1517981.00,1782621.00,1930681.00
Ignas Brazdeikis,898310.00,1517981.00,1782621.00,0.00
Jalen Lecque,898310.00,1517981.00,1782621.00,0.00
Justin James,898310.00,1517981.00,1782621.00,0.00
Dewan Hernandez,898310.00,1517981.00,1782621.00,0.00
Matt Thomas,898310.00,1517981.00,1782621.00,0.00
Justin Robinson,898310.00,1517981.00,1782621.00,0.00
Caleb Martin,898310.00,0.00,0.00,0.00
Jalen McDaniels,898310.00,0.00,0.00,0.00
DaQuan Jeffries,898310.00,0.00,0.00,0.00
Terence Davis,898310.00,1517981.00,0.00,0.00
Stanton Kidd,898310.00,1517981.00,1782621.00,0.00
Miye Oni,898310.00,1517981.00,1782621.00,0.00
Raymond Spalding,898310.00,0.00,0.00,0.00
Cole Aldrich,898310.00,685340.00,0.00,0.00
Shaun Livingston,898310.00,666666.00,666666.00,0.00
Dakari Johnson,898310.00,459414.00,459414.00,0.00
CJ Watson,898310.00,333333.00,0.00,0.00
Festus Ezeli,898310.00,0.00,0.00,0.00
Deyonta Davis,898310.00,0.00,0.00,0.00
Joe Johnson,898310.00,0.00,0.00,0.00
Cameron Payne,898310.00,0.00,0.00,0.00
Troy Williams,898310.00,122741.00,0.00,0.00
Jaylen Adams,898310.00,0.00,0.00,0.00
Yante Maten,898310.00,0.00,0.00,0.00
Demetrius Jackson,898310.00,92857.00,92857.00,92857.00
Charlie Brown,898310.00,0.00,0.00,0.00
Brandon Goodwin,898310.00,0.00,0.00,0.00
Tacko Fall,898310.00,0.00,0.00,0.00
Tremont Waters,898310.00,0.00,0.00,0.00
Henry Ellenson,898310.00,0.00,0.00,0.00
Timothe Luwawu,898310.00,0.00,0.00,0.00
